batch_id,key_id,key_length,mismatched_bits,qber,eve_present
0,0,8,0,0.0,1
0,1,8,2,0.25,1
0,2,8,1,0.125,1
0,3,8,5,0.625,1
0,4,8,3,0.375,1
0,5,8,1,0.125,1
0,6,8,3,0.375,1
0,7,8,3,0.375,1
0,8,8,2,0.25,1
0,9,8,2,0.25,1
0,10,8,2,0.25,1
0,11,8,3,0.375,1
0,12,8,3,0.375,1
0,13,8,2,0.25,1
0,14,8,1,0.125,1
0,15,8,5,0.625,1
0,16,8,2,0.25,1
0,17,8,0,0.0,1
0,18,8,2,0.25,1
0,19,8,3,0.375,1
0,20,8,2,0.25,1
0,21,8,2,0.25,1
0,22,8,0,0.0,1
0,23,8,2,0.25,1
0,24,8,3,0.375,1
0,25,8,1,0.125,1
0,26,8,0,0.0,1
0,27,8,3,0.375,1
0,28,8,2,0.25,1
0,29,8,4,0.5,1
0,30,8,4,0.5,1
0,31,8,3,0.375,1
0,32,8,3,0.375,1
0,33,8,4,0.5,1
0,34,8,1,0.125,1
0,35,8,1,0.125,1
0,36,8,1,0.125,1
0,37,8,2,0.25,1
0,38,8,2,0.25,1
0,39,8,2,0.25,1
0,40,8,2,0.25,1
0,41,8,1,0.125,1
0,42,8,3,0.375,1
0,43,8,3,0.375,1
0,44,8,3,0.375,1
0,45,8,2,0.25,1
0,46,8,7,0.875,1
0,47,8,3,0.375,1
0,48,8,3,0.375,1
0,49,8,1,0.125,1
0,50,8,2,0.25,1
0,51,8,1,0.125,1
0,52,8,1,0.125,1
0,53,8,3,0.375,1
0,54,8,3,0.375,1
0,55,8,2,0.25,1
0,56,8,1,0.125,1
0,57,8,2,0.25,1
0,58,8,2,0.25,1
0,59,8,2,0.25,1
0,60,8,3,0.375,1
0,61,8,2,0.25,1
0,62,8,2,0.25,1
0,63,8,2,0.25,1
0,64,8,2,0.25,1
0,65,8,2,0.25,1
0,66,8,5,0.625,1
0,67,8,7,0.875,1
0,68,8,2,0.25,1
0,69,8,2,0.25,1
0,70,8,5,0.625,1
0,71,8,5,0.625,1
0,72,8,2,0.25,1
0,73,8,1,0.125,1
0,74,8,3,0.375,1
0,75,8,2,0.25,1
0,76,8,3,0.375,1
0,77,8,2,0.25,1
0,78,8,1,0.125,1
0,79,8,2,0.25,1
0,80,8,1,0.125,1
0,81,8,2,0.25,1
0,82,8,4,0.5,1
0,83,8,2,0.25,1
0,84,8,1,0.125,1
0,85,8,2,0.25,1
0,86,8,0,0.0,1
0,87,8,2,0.25,1
0,88,8,2,0.25,1
0,89,8,4,0.5,1
0,90,8,2,0.25,1
0,91,8,1,0.125,1
0,92,8,0,0.0,1
0,93,8,0,0.0,1
0,94,8,2,0.25,1
0,95,8,3,0.375,1
0,96,8,0,0.0,1
0,97,8,4,0.5,1
0,98,8,3,0.375,1
0,99,8,0,0.0,1
1,0,8,0,0.0,1
1,1,8,4,0.5,1
1,2,8,3,0.375,1
1,3,8,1,0.125,1
1,4,8,1,0.125,1
1,5,8,1,0.125,1
1,6,8,3,0.375,1
1,7,8,3,0.375,1
1,8,8,1,0.125,1
1,9,8,4,0.5,1
1,10,8,2,0.25,1
1,11,8,1,0.125,1
1,12,8,0,0.0,1
1,13,8,2,0.25,1
1,14,8,1,0.125,1
1,15,8,2,0.25,1
1,16,8,3,0.375,1
1,17,8,0,0.0,1
1,18,8,2,0.25,1
1,19,8,3,0.375,1
1,20,8,3,0.375,1
1,21,8,2,0.25,1
1,22,8,0,0.0,1
1,23,8,3,0.375,1
1,24,8,2,0.25,1
1,25,8,2,0.25,1
1,26,8,1,0.125,1
1,27,8,3,0.375,1
1,28,8,1,0.125,1
1,29,8,2,0.25,1
1,30,8,0,0.0,1
1,31,8,3,0.375,1
1,32,8,4,0.5,1
1,33,8,2,0.25,1
1,34,8,1,0.125,1
1,35,8,1,0.125,1
1,36,8,3,0.375,1
1,37,8,2,0.25,1
1,38,8,1,0.125,1
1,39,8,4,0.5,1
1,40,8,2,0.25,1
1,41,8,0,0.0,1
1,42,8,2,0.25,1
1,43,8,2,0.25,1
1,44,8,2,0.25,1
1,45,8,1,0.125,1
1,46,8,2,0.25,1
1,47,8,2,0.25,1
1,48,8,0,0.0,1
1,49,8,3,0.375,1
1,50,8,3,0.375,1
1,51,8,3,0.375,1
1,52,8,3,0.375,1
1,53,8,2,0.25,1
1,54,8,3,0.375,1
1,55,8,3,0.375,1
1,56,8,2,0.25,1
1,57,8,0,0.0,1
1,58,8,2,0.25,1
1,59,8,1,0.125,1
1,60,8,3,0.375,1
1,61,8,4,0.5,1
1,62,8,4,0.5,1
1,63,8,1,0.125,1
1,64,8,1,0.125,1
1,65,8,1,0.125,1
1,66,8,2,0.25,1
1,67,8,3,0.375,1
1,68,8,3,0.375,1
1,69,8,3,0.375,1
1,70,8,2,0.25,1
1,71,8,4,0.5,1
1,72,8,3,0.375,1
1,73,8,3,0.375,1
1,74,8,3,0.375,1
1,75,8,2,0.25,1
1,76,8,0,0.0,1
1,77,8,0,0.0,1
1,78,8,4,0.5,1
1,79,8,3,0.375,1
1,80,8,3,0.375,1
1,81,8,3,0.375,1
1,82,8,1,0.125,1
1,83,8,2,0.25,1
1,84,8,2,0.25,1
1,85,8,1,0.125,1
1,86,8,2,0.25,1
1,87,8,1,0.125,1
1,88,8,1,0.125,1
1,89,8,2,0.25,1
1,90,8,2,0.25,1
1,91,8,2,0.25,1
1,92,8,3,0.375,1
1,93,8,2,0.25,1
1,94,8,2,0.25,1
1,95,8,2,0.25,1
1,96,8,0,0.0,1
1,97,8,4,0.5,1
1,98,8,3,0.375,1
1,99,8,2,0.25,1
2,0,8,2,0.25,1
2,1,8,0,0.0,1
2,2,8,3,0.375,1
2,3,8,2,0.25,1
2,4,8,3,0.375,1
2,5,8,5,0.625,1
2,6,8,2,0.25,1
2,7,8,0,0.0,1
2,8,8,2,0.25,1
2,9,8,3,0.375,1
2,10,8,5,0.625,1
2,11,8,2,0.25,1
2,12,8,3,0.375,1
2,13,8,1,0.125,1
2,14,8,4,0.5,1
2,15,8,2,0.25,1
2,16,8,3,0.375,1
2,17,8,3,0.375,1
2,18,8,3,0.375,1
2,19,8,3,0.375,1
2,20,8,2,0.25,1
2,21,8,1,0.125,1
2,22,8,2,0.25,1
2,23,8,3,0.375,1
2,24,8,5,0.625,1
2,25,8,0,0.0,1
2,26,8,4,0.5,1
2,27,8,4,0.5,1
2,28,8,2,0.25,1
2,29,8,4,0.5,1
2,30,8,3,0.375,1
2,31,8,3,0.375,1
2,32,8,2,0.25,1
2,33,8,2,0.25,1
2,34,8,3,0.375,1
2,35,8,4,0.5,1
2,36,8,3,0.375,1
2,37,8,3,0.375,1
2,38,8,2,0.25,1
2,39,8,1,0.125,1
2,40,8,3,0.375,1
2,41,8,4,0.5,1
2,42,8,2,0.25,1
2,43,8,1,0.125,1
2,44,8,2,0.25,1
2,45,8,4,0.5,1
2,46,8,2,0.25,1
2,47,8,1,0.125,1
2,48,8,3,0.375,1
2,49,8,2,0.25,1
2,50,8,1,0.125,1
2,51,8,4,0.5,1
2,52,8,1,0.125,1
2,53,8,1,0.125,1
2,54,8,4,0.5,1
2,55,8,2,0.25,1
2,56,8,1,0.125,1
2,57,8,4,0.5,1
2,58,8,5,0.625,1
2,59,8,2,0.25,1
2,60,8,0,0.0,1
2,61,8,1,0.125,1
2,62,8,0,0.0,1
2,63,8,1,0.125,1
2,64,8,2,0.25,1
2,65,8,1,0.125,1
2,66,8,0,0.0,1
2,67,8,3,0.375,1
2,68,8,2,0.25,1
2,69,8,1,0.125,1
2,70,8,2,0.25,1
2,71,8,1,0.125,1
2,72,8,2,0.25,1
2,73,8,2,0.25,1
2,74,8,1,0.125,1
2,75,8,3,0.375,1
2,76,8,1,0.125,1
2,77,8,2,0.25,1
2,78,8,3,0.375,1
2,79,8,3,0.375,1
2,80,8,2,0.25,1
2,81,8,2,0.25,1
2,82,8,4,0.5,1
2,83,8,0,0.0,1
2,84,8,3,0.375,1
2,85,8,1,0.125,1
2,86,8,4,0.5,1
2,87,8,3,0.375,1
2,88,8,1,0.125,1
2,89,8,1,0.125,1
2,90,8,2,0.25,1
2,91,8,1,0.125,1
2,92,8,2,0.25,1
2,93,8,3,0.375,1
2,94,8,1,0.125,1
2,95,8,3,0.375,1
2,96,8,3,0.375,1
2,97,8,4,0.5,1
2,98,8,0,0.0,1
2,99,8,1,0.125,1
3,0,8,1,0.125,1
3,1,8,1,0.125,1
3,2,8,3,0.375,1
3,3,8,1,0.125,1
3,4,8,0,0.0,1
3,5,8,1,0.125,1
3,6,8,2,0.25,1
3,7,8,1,0.125,1
3,8,8,3,0.375,1
3,9,8,1,0.125,1
3,10,8,1,0.125,1
3,11,8,1,0.125,1
3,12,8,3,0.375,1
3,13,8,4,0.5,1
3,14,8,0,0.0,1
3,15,8,4,0.5,1
3,16,8,4,0.5,1
3,17,8,2,0.25,1
3,18,8,4,0.5,1
3,19,8,2,0.25,1
3,20,8,1,0.125,1
3,21,8,0,0.0,1
3,22,8,1,0.125,1
3,23,8,1,0.125,1
3,24,8,3,0.375,1
3,25,8,2,0.25,1
3,26,8,3,0.375,1
3,27,8,3,0.375,1
3,28,8,1,0.125,1
3,29,8,3,0.375,1
3,30,8,0,0.0,1
3,31,8,1,0.125,1
3,32,8,2,0.25,1
3,33,8,2,0.25,1
3,34,8,1,0.125,1
3,35,8,1,0.125,1
3,36,8,2,0.25,1
3,37,8,1,0.125,1
3,38,8,1,0.125,1
3,39,8,0,0.0,1
3,40,8,5,0.625,1
3,41,8,0,0.0,1
3,42,8,5,0.625,1
3,43,8,3,0.375,1
3,44,8,3,0.375,1
3,45,8,1,0.125,1
3,46,8,2,0.25,1
3,47,8,1,0.125,1
3,48,8,1,0.125,1
3,49,8,3,0.375,1
3,50,8,3,0.375,1
3,51,8,4,0.5,1
3,52,8,3,0.375,1
3,53,8,1,0.125,1
3,54,8,3,0.375,1
3,55,8,0,0.0,1
3,56,8,2,0.25,1
3,57,8,3,0.375,1
3,58,8,2,0.25,1
3,59,8,3,0.375,1
3,60,8,5,0.625,1
3,61,8,1,0.125,1
3,62,8,5,0.625,1
3,63,8,1,0.125,1
3,64,8,2,0.25,1
3,65,8,3,0.375,1
3,66,8,1,0.125,1
3,67,8,1,0.125,1
3,68,8,1,0.125,1
