batch_id,poison_label,mean_qber,std_qber,skew_qber,kurtosis_qber,frac_qber_0.000,frac_qber_0.125,frac_qber_0.250,frac_qber_0.375,frac_qber_0.500,frac_qber_0.625,frac_qber_0.750,frac_qber_0.875,frac_qber_1.000
0,0,0.28,0.17150072886142495,0.8870097692259321,1.6528114952672297,0.09,0.17,0.39,0.22,0.06,0.05,0.0,0.02,0.0
1,0,0.255,0.1413329402510257,-0.16152310727450053,-0.7329343155790795,0.11,0.2,0.32,0.28,0.09,0.0,0.0,0.0,0.0
2,0,0.28125,0.15848402916382456,0.14167575004160027,-0.6105275378583563,0.08,0.22,0.28,0.25,0.13,0.04,0.0,0.0,0.0
3,0,0.23875,0.1582077352723311,0.5244197288378266,-0.3832305604414805,0.1,0.37,0.19,0.24,0.06,0.04,0.0,0.0,0.0
4,0,0.2575,0.1569434611571951,0.5234479826798585,0.17793628308852094,0.09,0.26,0.32,0.21,0.08,0.03,0.01,0.0,0.0
5,0,0.23375,0.13992743655195003,0.12896574643153183,-0.45473860210924055,0.12,0.26,0.32,0.24,0.05,0.01,0.0,0.0,0.0
6,0,0.2525,0.14682046860026024,0.4426089493401982,-0.22622698928788898,0.07,0.3,0.31,0.21,0.08,0.03,0.0,0.0,0.0
7,0,0.235,0.13724977231310803,0.3745006774710139,-0.33494169434477117,0.08,0.33,0.31,0.2,0.07,0.01,0.0,0.0,0.0
8,0,0.275,0.15309310892394862,0.5617496476782753,0.19680000000000186,0.05,0.26,0.32,0.24,0.08,0.04,0.01,0.0,0.0
9,0,0.265,0.1622883236711748,0.24284855886673057,-0.47327247142606943,0.11,0.23,0.27,0.26,0.08,0.05,0.0,0.0,0.0
10,0,0.26625,0.14647418714572202,-0.029649662427341014,-0.6687807604229636,0.09,0.22,0.29,0.28,0.11,0.01,0.0,0.0,0.0
11,0,0.24625,0.14943121327219425,0.5143041247811283,-0.19549312972099697,0.08,0.31,0.32,0.17,0.09,0.03,0.0,0.0,0.0
12,0,0.26625,0.14540353331332773,0.05088680013077531,0.009952778926844541,0.11,0.13,0.41,0.25,0.07,0.03,0.0,0.0,0.0
13,0,0.24,0.1486186394770185,0.618657075309398,0.4321800448324917,0.09,0.31,0.32,0.18,0.08,0.01,0.01,0.0,0.0
14,0,0.26,0.16926310879810758,0.5555726748901268,-0.14221329824657625,0.1,0.28,0.28,0.19,0.09,0.05,0.01,0.0,0.0
15,0,0.25875,0.1394800612990975,0.25061378471274315,0.27418116878576937,0.09,0.17,0.44,0.21,0.06,0.03,0.0,0.0,0.0
16,0,0.2125,0.1525819451966713,0.6531862560916915,0.04170983289040997,0.15,0.35,0.26,0.16,0.05,0.03,0.0,0.0,0.0
17,0,0.245,0.14352700094407322,0.3952099646600757,0.4306396691488379,0.1,0.24,0.37,0.2,0.08,0.0,0.01,0.0,0.0
18,0,0.24125,0.15737594320606946,0.3423511240286619,-0.542459411454776,0.13,0.26,0.32,0.15,0.12,0.02,0.0,0.0,0.0
19,0,0.26875,0.15347536447260843,0.1665394415603367,0.03668226034009159,0.11,0.16,0.36,0.24,0.11,0.01,0.01,0.0,0.0
20,0,0.24375,0.16044372066241794,0.689121705248894,-0.21591089640117822,0.08,0.37,0.26,0.15,0.09,0.05,0.0,0.0,0.0
21,0,0.2525,0.15809411753762379,0.7335360969890953,0.20372647550484624,0.06,0.37,0.23,0.23,0.06,0.04,0.01,0.0,0.0
22,0,0.2475,0.14997916521970645,0.351062932730096,0.3221846765035603,0.12,0.21,0.36,0.22,0.07,0.01,0.01,0.0,0.0
23,0,0.25375,0.1504732119016538,0.3207705361115154,-0.0022119531062694264,0.11,0.2,0.38,0.21,0.06,0.04,0.0,0.0,0.0
24,0,0.2375,0.14523687548277814,0.4628454171763928,0.16559670781892866,0.09,0.34,0.24,0.26,0.06,0.0,0.01,0.0,0.0
25,0,0.23625,0.14884450779252825,0.283846042372281,-0.4444511041239969,0.12,0.29,0.27,0.24,0.06,0.02,0.0,0.0,0.0
26,0,0.26,0.14435200033252052,0.2723421724809223,-0.5290635934000982,0.06,0.3,0.27,0.26,0.09,0.02,0.0,0.0,0.0
27,0,0.26625,0.1692400292484021,0.3920002002837994,-0.44128597109908485,0.1,0.27,0.26,0.19,0.14,0.03,0.01,0.0,0.0
28,0,0.2425,0.14665009376062466,0.8223763532541848,0.858040648855396,0.07,0.31,0.38,0.13,0.08,0.02,0.01,0.0,0.0
29,0,0.22125,0.14454130032623894,0.6498589394477936,0.0020592152500120697,0.1,0.38,0.28,0.15,0.07,0.02,0.0,0.0,0.0
30,0,0.24875,0.15661956295431295,0.5374118852841437,0.1369738928283537,0.1,0.28,0.31,0.19,0.09,0.02,0.01,0.0,0.0
31,0,0.245,0.1570429877453941,0.04511921520723611,-0.8729734332906314,0.15,0.23,0.25,0.26,0.1,0.01,0.0,0.0,0.0
32,0,0.24125,0.1583656765211452,0.36754294117931896,-0.542231538224168,0.13,0.26,0.33,0.13,0.13,0.02,0.0,0.0,0.0
33,0,0.2675,0.15514106484100204,0.3924440378705104,0.1853510953762525,0.09,0.21,0.34,0.24,0.08,0.03,0.01,0.0,0.0
34,0,0.23125,0.14724023736737182,0.8796985752192897,0.9502410518626743,0.08,0.36,0.32,0.15,0.06,0.02,0.01,0.0,0.0
35,0,0.245,0.1580348062927911,0.5502076029432154,0.03832060288516592,0.1,0.32,0.25,0.22,0.08,0.02,0.01,0.0,0.0
36,0,0.24625,0.16149206636859906,0.5566045236019391,0.06006369637481068,0.11,0.3,0.26,0.22,0.07,0.03,0.01,0.0,0.0
37,0,0.21875,0.1429324578253659,0.017557665121183837,-0.9280990315469295,0.17,0.25,0.29,0.24,0.05,0.0,0.0,0.0,0.0
38,0,0.25,0.1489546910976623,0.4255004070236735,-0.15334259075580103,0.09,0.26,0.36,0.17,0.09,0.03,0.0,0.0,0.0
39,0,0.2575,0.14771171246722448,0.5384054316644041,0.30093457161727377,0.07,0.26,0.37,0.17,0.11,0.01,0.01,0.0,0.0
40,0,0.2575,0.15594470173750694,0.31911851693885473,-0.7469864525355252,0.08,0.31,0.26,0.19,0.14,0.02,0.0,0.0,0.0
41,0,0.25,0.181142209327368,0.5914847651505892,-0.07482993197278986,0.16,0.23,0.3,0.15,0.1,0.04,0.02,0.0,0.0
42,0,0.24375,0.14617519454408123,0.28468130759678695,-0.625455785086678,0.09,0.31,0.28,0.21,0.1,0.01,0.0,0.0,0.0
43,0,0.24125,0.13835529444152112,0.18260719529117853,-0.31936147488215916,0.1,0.25,0.36,0.21,0.07,0.01,0.0,0.0,0.0
44,0,0.2525,0.14788086421170255,0.43243100637419846,0.07285746362350043,0.09,0.24,0.37,0.2,0.06,0.04,0.0,0.0,0.0
45,0,0.25375,0.16149206636859906,0.22248209668361735,-0.7876352158465028,0.12,0.26,0.27,0.19,0.14,0.02,0.0,0.0,0.0
46,0,0.2475,0.16103182915187916,0.9352646372109608,1.7547891999169734,0.1,0.27,0.35,0.17,0.08,0.01,0.01,0.01,0.0
47,0,0.27875,0.14561829383700386,0.15271463339755545,-0.3750962720774753,0.06,0.22,0.31,0.28,0.1,0.03,0.0,0.0,0.0
48,0,0.25875,0.1543686739594533,0.18550602395812466,-0.44304001219709876,0.11,0.22,0.31,0.24,0.09,0.03,0.0,0.0,0.0
49,0,0.28,0.1621342036709096,0.3734072229560458,0.014690649795176647,0.08,0.22,0.3,0.23,0.14,0.01,0.02,0.0,0.0
50,0,0.23,0.155844473755087,0.30455161754245347,-0.6995218063762154,0.15,0.28,0.28,0.17,0.11,0.01,0.0,0.0,0.0
51,0,0.2775,0.16637683131974837,0.3308259311988852,-0.2418299390789418,0.1,0.19,0.34,0.19,0.13,0.04,0.01,0.0,0.0
52,0,0.265,0.14500000000000002,0.11138218049120482,-0.569873925639174,0.08,0.22,0.35,0.21,0.13,0.01,0.0,0.0,0.0
53,0,0.24125,0.14817114260206,0.6036484330738889,-0.2799647355578876,0.07,0.35,0.32,0.12,0.12,0.02,0.0,0.0,0.0
54,0,0.25375,0.16149206636859906,0.2224820966836174,-0.44304216209800185,0.14,0.2,0.31,0.23,0.08,0.04,0.0,0.0,0.0
55,0,0.25,0.1489546910976623,0.21275020351183674,-0.7484626066256683,0.09,0.3,0.26,0.23,0.11,0.01,0.0,0.0,0.0
56,0,0.23,0.15178109236660542,0.3417371303254623,-0.6334976030788004,0.13,0.31,0.27,0.18,0.1,0.01,0.0,0.0,0.0
57,0,0.23,0.14439529078193653,0.47008249004626107,-0.06949260735296692,0.11,0.3,0.34,0.16,0.07,0.02,0.0,0.0,0.0
58,0,0.275,0.1541103500742244,0.2881564717454329,-0.4369806094182822,0.07,0.23,0.33,0.21,0.12,0.04,0.0,0.0,0.0
59,0,0.26875,0.14724023736737185,0.2583569628839125,-0.5644411979547121,0.06,0.26,0.32,0.21,0.13,0.02,0.0,0.0,0.0
60,0,0.23375,0.15068074694532144,0.6273606724566544,0.6816493515715134,0.12,0.27,0.35,0.18,0.05,0.02,0.01,0.0,0.0
61,0,0.2325,0.16772373117719508,0.35554548171666217,-0.6526237892974103,0.18,0.25,0.26,0.18,0.1,0.03,0.0,0.0,0.0
62,0,0.23625,0.13681077260216026,0.31015380485651095,-0.5875312684584282,0.08,0.32,0.33,0.17,0.1,0.0,0.0,0.0,0.0
63,0,0.23,0.14,0.2321884110787171,-0.49895551332778076,0.11,0.31,0.28,0.24,0.05,0.01,0.0,0.0,0.0
64,0,0.23625,0.14884450779252825,0.17723453070790857,-0.6629107002480117,0.13,0.27,0.28,0.23,0.08,0.01,0.0,0.0,0.0
65,0,0.2675,0.17231874535290695,0.4577027524669314,-0.29071441207183923,0.11,0.23,0.32,0.16,0.12,0.05,0.01,0.0,0.0
66,0,0.27,0.15178109236660542,-0.1406522034903012,-0.6290814858997802,0.12,0.15,0.33,0.26,0.13,0.01,0.0,0.0,0.0
67,0,0.25,0.14252192813739226,0.5667144124753111,-0.24260355029585856,0.05,0.33,0.34,0.15,0.11,0.02,0.0,0.0,0.0
68,0,0.24125,0.1302101666537602,0.1399717090573867,-0.4331016352983714,0.08,0.26,0.39,0.19,0.08,0.0,0.0,0.0,0.0
69,0,0.24625,0.13399510252244295,0.5954309531124967,0.5683865707435305,0.06,0.27,0.42,0.17,0.05,0.03,0.0,0.0,0.0
